iter	Logloss
0	0.6931055355
1	0.6930795444
2	0.6930375349
3	0.693011363
4	0.6929780345
5	0.6929646049
6	0.692942577
7	0.6929109485
8	0.6928849626
9	0.6928601858
10	0.6928293271
11	0.6928099811
12	0.6927897566
13	0.6927826413
14	0.6927568931
15	0.692738596
16	0.6927142016
17	0.6927002501
18	0.6926738249
19	0.6926556053
20	0.6926360681
21	0.6926152752
22	0.6925872999
23	0.6925659748
24	0.692554054
25	0.6925373536
26	0.6925151294
27	0.6924850045
28	0.692468578
29	0.6924382051
30	0.6924240831
31	0.6924028561
32	0.6923776143
33	0.6923528375
34	0.6923379249
35	0.6923092262
36	0.6922853278
37	0.6922644833
38	0.6922534254
39	0.6922231662
40	0.6922129196
41	0.6922006113
42	0.6921825467
43	0.6921544526
44	0.6921419892
45	0.6921345846
46	0.692116582
47	0.6920899967
48	0.6920777401
49	0.6920612773
50	0.6920441428
51	0.6920330126
52	0.6920139508
53	0.6919990124
54	0.6919805292
55	0.6919597674
56	0.6919464514
57	0.6919266817
58	0.6919086584
59	0.691893534
60	0.6918751594
61	0.6918475923
62	0.6918385083
63	0.6918271301
64	0.6918178653
65	0.6918061202
66	0.6917874562
67	0.6917725384
68	0.6917564219
69	0.6917389102
70	0.6917174818
71	0.691696105
72	0.6916759735
73	0.6916709716
74	0.6916588597
75	0.6916468097
76	0.6916266731
77	0.6916093991
78	0.6915933756
79	0.6915761636
80	0.6915573136
81	0.6915376213
82	0.6915269407
83	0.6915005155
84	0.6914783533
85	0.6914591778
86	0.6914430974
87	0.6914295283
88	0.6914122491
89	0.6914006384
90	0.691393518
91	0.6913762905
92	0.6913560763
93	0.6913408537
94	0.691330726
95	0.6913130644
96	0.69129763
97	0.6912817253
98	0.6912686264
99	0.6912570621
100	0.6912454927
101	0.6912331224
102	0.6912201682
103	0.6912070176
104	0.6911860853
105	0.6911680775
106	0.6911508552
107	0.6911420451
108	0.6911305015
109	0.6911197744
110	0.6911140233
111	0.6910975657
112	0.6910921246
113	0.6910781266
114	0.6910701123
115	0.6910554012
116	0.6910481309
117	0.6910410208
118	0.6910216851
119	0.6910122446
120	0.6910029074
121	0.6909834735
122	0.690975206
123	0.6909523359
124	0.6909256627
125	0.6909198393
126	0.6909061875
127	0.6908678002
128	0.6908508466
129	0.6908349419
130	0.6908155597
131	0.6907984717
132	0.6907861789
133	0.6907713283
134	0.6907542352
135	0.6907317526
136	0.6907099418
137	0.6906870459
138	0.6906765047
139	0.6906593341
140	0.6906334463
141	0.6906163738
142	0.6905905223
143	0.6905686236
144	0.6905464201
145	0.6905370622
146	0.6905268208
147	0.6905152153
148	0.6904897977
149	0.6904732781
150	0.6904593783
151	0.6904493229
152	0.6904316045
153	0.6904158032
154	0.6904027508
155	0.6903950878
156	0.6903747703
157	0.690359155
158	0.6903401551
159	0.6903326937
160	0.6903119215
161	0.6902816623
162	0.6902699172
163	0.690242717
164	0.6902124009
165	0.6901909104
166	0.6901684176
167	0.6901454028
168	0.6901115007
169	0.6901015228
170	0.6900907595
171	0.6900623553
172	0.6900439342
173	0.6900320134
174	0.6900170698
175	0.6899931921
176	0.6899713658
177	0.6899504075
178	0.6899321053
179	0.6899058558
180	0.689888525
181	0.6898630351
182	0.6898292983
183	0.6898003619
184	0.6897860229
185	0.6897680875
186	0.6897438687
187	0.6897332191
188	0.6897216497
189	0.6896973483
190	0.6896754083
191	0.6896578449
192	0.6896191063
193	0.6896004113
194	0.6895787659
195	0.689551979
196	0.6895167076
197	0.689506337
198	0.6894924268
199	0.6894668491
200	0.689428002
201	0.6894075553
202	0.6893865506
203	0.6893620838
204	0.6893400146
205	0.6893180901
206	0.6893020718
207	0.6892699007
208	0.6892525957
209	0.6892211118
210	0.6892054913
211	0.689182306
212	0.689155731
213	0.6891434692
214	0.6891179329
215	0.6890932749
216	0.6890791426
217	0.689056815
218	0.6890417629
219	0.6890203138
220	0.6889926175
221	0.6889731423
222	0.6889474302
223	0.6889260741
224	0.6889001605
225	0.6888806181
226	0.688854441
227	0.6888413008
228	0.6888206371
229	0.6887948268
230	0.6887734862
231	0.6887521301
232	0.6887378479
233	0.6887199384
234	0.68869774
235	0.6886780013
236	0.6886536533
237	0.6886175035
238	0.6885987362
239	0.6885778916
240	0.6885519573
241	0.6885312006
242	0.6885151564
243	0.6884878787
244	0.688478185
245	0.6884495276
246	0.6884314682
247	0.6884077714
248	0.6883804523
249	0.6883648318
250	0.6883479918
251	0.688317004
252	0.6882864813
253	0.6882630066
254	0.6882434797
255	0.6882141713
256	0.6881873017
257	0.6881692785
258	0.6881249231
259	0.6880968083
260	0.6880717163
261	0.6880513316
262	0.688020783
263	0.6879945801
264	0.6879673747
265	0.687936113
266	0.6879133359
267	0.6878843479
268	0.6878530552
269	0.6878294152
270	0.6878140066
271	0.6877897516
272	0.6877674706
273	0.6877385652
274	0.6877271146
275	0.6877071124
276	0.6876792559
277	0.6876580393
278	0.6876336035
279	0.6876146037
280	0.6875954591
281	0.6875751778
282	0.6875502098
283	0.6875313288
284	0.6875108822
285	0.6874957164
286	0.6874810932
287	0.687464062
288	0.6874355493
289	0.6874068403
290	0.6873921085
291	0.6873775525
292	0.68736079
293	0.6873365506
294	0.6873104975
295	0.6872899578
296	0.6872701777
297	0.6872566448
298	0.6872446413
299	0.6872170226
300	0.6871984929
301	0.6871675258
302	0.6871461852
303	0.6871230154
304	0.6871097718
305	0.6870952571
306	0.6870755442
307	0.687051527
308	0.6870241562
309	0.6870084996
310	0.68699646
311	0.6869772534
312	0.6869583311
313	0.6869324847
314	0.6869074908
315	0.686892015
316	0.6868722711
317	0.6868481247
318	0.686827213
319	0.6868039502
320	0.6867860974
321	0.6867625039
322	0.686757068
323	0.6867337742
324	0.6867063983
325	0.6866904471
326	0.6866750074
327	0.6866622599
328	0.6866487322
329	0.686631174
330	0.6866067692
331	0.6865877487
332	0.6865717768
333	0.6865497955
334	0.6865303771
335	0.686517397
336	0.6865050422
337	0.6864870655
338	0.6864667583
339	0.6864447615
340	0.6864302881
341	0.686415577
342	0.6863787813
343	0.6863614091
344	0.6863395983
345	0.6863154829
346	0.6862949484
347	0.68627893
348	0.6862664305
349	0.6862541997
350	0.6862277126
351	0.6862102525
352	0.6861887828
353	0.6861790012
354	0.6861594588
355	0.6861376738
356	0.6861148244
357	0.6860913342
358	0.6860700815
359	0.6860497485
360	0.6860413466
361	0.6860189829
362	0.6860032745
363	0.6859882224
364	0.6859664323
365	0.685951065
366	0.6859336153
367	0.6859186459
368	0.6858998475
369	0.6858751069
370	0.6858658266
371	0.6858574712
372	0.6858444291
373	0.68583024
374	0.6858044556
375	0.6857845049
376	0.6857640066
377	0.6857513107
378	0.6857252886
379	0.685705245
380	0.6856888959
381	0.6856736371
382	0.6856548078
383	0.6856333225
384	0.685613098
385	0.6855941447
386	0.6855722719
387	0.6855446944
388	0.6855273533
389	0.685509268
390	0.6854903508
391	0.6854722087
392	0.6854500259
393	0.685427502
394	0.685415669
395	0.6853988756
396	0.6853778605
397	0.6853661103
398	0.6853471466
399	0.6853345076
400	0.685324137
401	0.6853058967
402	0.6852981924
403	0.6852829491
404	0.685266352
405	0.685259676
406	0.6852402834
407	0.6852225288
408	0.6852123908
409	0.6852039837
410	0.6851909003
411	0.6851846532
412	0.6851594836
413	0.6851521359
414	0.6851254162
415	0.6851002157
416	0.6850945421
417	0.6850736872
418	0.6850639005
419	0.685037589
420	0.6850272546
421	0.6850018422
422	0.6849769466
423	0.6849686118
424	0.6849478706
425	0.6849349888
426	0.6849111472
427	0.6848981052
428	0.6848809965
429	0.6848562456
430	0.6848330551
431	0.6848053847
432	0.684775575
433	0.6847613135
434	0.6847436571
435	0.6847158833
436	0.6847048203
437	0.6846840739
438	0.6846653376
439	0.6846513241
440	0.6846289346
441	0.6846153913
442	0.6845917926
443	0.6845727876
444	0.6845542631
445	0.6845466932
446	0.6845378624
447	0.6845095305
448	0.6844960544
449	0.6844815604
450	0.684464953
451	0.6844383211
452	0.6844220599
453	0.6843988746
454	0.6843833988
455	0.6843708373
456	0.6843407899
457	0.6843253193
458	0.6843042319
459	0.6842833202
460	0.6842726292
461	0.6842615145
462	0.6842532831
463	0.6842322164
464	0.6842235148
465	0.6842048405
466	0.6841879798
467	0.6841734755
468	0.6841657091
469	0.6841583614
470	0.6841457069
471	0.684130169
472	0.6841118099
473	0.6840916888
474	0.6840774531
475	0.6840645402
476	0.6840519994
477	0.6840328135
478	0.6840091632
479	0.6840011436
480	0.6839825107
481	0.6839693498
482	0.6839558323
483	0.6839403359
484	0.6839194035
485	0.6839047441
486	0.6838875579
487	0.6838652717
488	0.6838502144
489	0.6838348781
490	0.6838205546
491	0.6837957003
492	0.6837785762
493	0.6837640924
494	0.6837562228
495	0.6837355797
496	0.6837209514
497	0.6837040132
498	0.6836770197
499	0.6836652953
500	0.6836421048
501	0.6836221645
502	0.68360472
503	0.68359035
504	0.6835619251
505	0.6835502575
506	0.6835313817
507	0.6835198175
508	0.6834938057
509	0.6834832853
510	0.6834759065
511	0.6834598829
512	0.6834444226
513	0.6834087998
514	0.6833915
515	0.6833691983
516	0.6833479455
517	0.6833328883
518	0.6833123848
519	0.6832954983
520	0.6832907393
521	0.6832811386
522	0.6832703598
523	0.6832447821
524	0.6832276372
525	0.6832127143
526	0.6831858706
527	0.6831769107
528	0.6831537357
529	0.6831354076
530	0.683112615
531	0.6831006736
532	0.6830868874
533	0.6830713961
534	0.6830583644
535	0.6830371427
536	0.6830259091
537	0.6830046357
538	0.6829877802
539	0.6829602855
540	0.6829535216
541	0.6829411719
542	0.6829182553
543	0.6828944345
544	0.6828698179
545	0.682864847
546	0.6828560266
547	0.6828391814
548	0.6828213235
549	0.6828100228
550	0.6827901911
551	0.682772235
552	0.682751964
553	0.6827271459
554	0.6827071952
555	0.6826931921
556	0.6826719342
557	0.68264724
558	0.6826261578
559	0.6826124285
560	0.6825959296
561	0.6825763045
562	0.6825619706
563	0.6825463553
564	0.6825343622
565	0.6825130423
566	0.6825055653
567	0.6824857335
568	0.6824685009
569	0.6824579236
570	0.6824320875
571	0.6824126898
572	0.682400955
573	0.6823842959
574	0.6823736153
575	0.6823619322
576	0.6823486008
577	0.6823358688
578	0.6823128746
579	0.6822998171
580	0.6822931514
581	0.6822763373
582	0.6822568155
583	0.6822353716
584	0.6822105844
585	0.682190887
586	0.6821833222
587	0.6821734787
588	0.6821627567
589	0.6821417158
590	0.6821290819
591	0.6821118028
592	0.6820925135
593	0.6820746246
594	0.6820479153
595	0.682040056
596	0.6820271431
597	0.6820176406
598	0.6819995657
599	0.6819915151
600	0.6819708101
601	0.6819523321
602	0.6819295912
603	0.6819095941
604	0.681899208
605	0.6818831535
606	0.6818759555
607	0.6818672281
608	0.6818571469
609	0.6818475875
610	0.6818343956
611	0.681805516
612	0.6817937813
613	0.681772017
614	0.6817531205
615	0.68173982
616	0.6817275582
617	0.6817233573
618	0.6817065793
619	0.6816992987
620	0.6816854454
621	0.6816716851
622	0.6816603483
623	0.6816355095
624	0.6816197443
625	0.6816074308
626	0.6815932985
627	0.6815694673
628	0.6815491291
629	0.6815394716
630	0.6815330074
631	0.6815099564
632	0.6814945271
633	0.6814818106
634	0.6814551839
635	0.6814473194
636	0.6814360342
637	0.6814178818
638	0.681397895
639	0.6813769316
640	0.6813684987
641	0.6813613318
642	0.6813427143
643	0.6813307936
644	0.6813174518
645	0.6812964522
646	0.6812867017
647	0.681275091
648	0.6812529184
649	0.6812386414
650	0.6812320429
651	0.681219347
652	0.6812093433
653	0.6811845303
654	0.6811727956
655	0.681154979
656	0.6811409759
657	0.6811259289
658	0.6811072495
659	0.6810866736
660	0.6810686142
661	0.6810543888
662	0.6810444109
663	0.6810241038
664	0.6810096821
665	0.6810033161
666	0.6809756973
667	0.6809596634
668	0.6809401469
669	0.680918367
670	0.6808960912
671	0.6808879476
672	0.6808610936
673	0.6808464342
674	0.6808361308
675	0.680828473
676	0.6808215489
677	0.6808061248
678	0.6807895793
679	0.6807743826
680	0.6807418188
681	0.6807291798
682	0.6807151818
683	0.6806986415
684	0.6806869223
685	0.6806794298
686	0.6806547667
687	0.6806376064
688	0.6806305221
689	0.6806224716
690	0.6806140025
691	0.6806024848
692	0.6805851333
693	0.6805712025
694	0.6805550962
695	0.6805417907
696	0.6805298131
697	0.680510746
698	0.6805033724
699	0.6804894313
700	0.6804750664
701	0.6804582523
702	0.6804496127
703	0.680438436
704	0.6804275073
705	0.6804213532
706	0.6804142999
707	0.6804024515
708	0.6803837514
709	0.6803785893
710	0.6803642245
711	0.6803331591
712	0.6803170943
713	0.6803063051
714	0.6802896874
715	0.6802717468
716	0.6802566223
717	0.6802447377
718	0.6802305021
719	0.6802157962
720	0.680206521
721	0.6801955614
722	0.6801793983
723	0.68016292
724	0.6801523686
725	0.6801451862
726	0.6801345004
727	0.6801218924
728	0.6801082147
729	0.6801020864
730	0.6800985985
731	0.6800789425
732	0.6800575192
733	0.6800448905
734	0.6800136702
735	0.6800065136
736	0.6799916785
737	0.6799878651
738	0.6799715419
739	0.6799451477
740	0.6799283543
741	0.6799160201
742	0.6799119329
743	0.6799014744
744	0.6798890989
745	0.6798847636
746	0.6798733751
747	0.6798626428
748	0.6798425165
749	0.679825785
750	0.6798165254
751	0.6798036332
752	0.6797899866
753	0.6797779056
754	0.6797675918
755	0.6797588954
756	0.6797480856
757	0.6797323463
758	0.6797115947
759	0.6796957159
760	0.6796840793
761	0.6796720087
762	0.6796597986
763	0.6796449376
764	0.6796375692
765	0.6796232715
766	0.6796112732
767	0.6795982312
768	0.6795949603
769	0.6795777432
770	0.6795658689
771	0.679554532
772	0.6795452982
773	0.6795306853
774	0.6795210846
775	0.6795051541
776	0.6794888774
777	0.6794848935
778	0.6794671079
779	0.6794534664
780	0.6794390913
781	0.6794288757
782	0.6794183604
783	0.6793975675
784	0.6793818798
785	0.6793594645
786	0.6793405421
787	0.6793333338
788	0.6793140963
789	0.6792992457
790	0.6792824058
791	0.6792663202
792	0.6792596855
793	0.6792485863
794	0.6792362212
795	0.6792208952
796	0.6792150098
797	0.6792009291
798	0.6791921448
799	0.6791797332
800	0.6791660091
801	0.6791526466
802	0.6791473864
803	0.6791447098
804	0.6791274978
805	0.679115546
806	0.6791014189
807	0.6790917045
808	0.679078094
809	0.6790629128
810	0.6790563142
811	0.6790551878
812	0.6790419184
813	0.6790323642
814	0.6790235127
815	0.6789915432
816	0.6789748789
817	0.6789604985
818	0.6789491823
819	0.6789323372
820	0.6789099528
821	0.6788968178
822	0.678887925
823	0.6788694315
824	0.6788642436
825	0.6788523849
826	0.6788402884
827	0.6788307446
828	0.6788198159
829	0.6788149691
830	0.6787944449
831	0.6787775739
832	0.6787616537
833	0.6787527661
834	0.6787407627
835	0.678732831
836	0.6787062095
837	0.6786938082
838	0.6786827917
839	0.6786629599
840	0.6786422032
841	0.6786344214
842	0.6786271769
843	0.6786183772
844	0.678604405
845	0.6785890015
846	0.6785731537
847	0.6785628554
848	0.6785484699
849	0.6785390242
850	0.6785233572
851	0.6785091009
852	0.6784919922
853	0.6784759325
854	0.6784562609
855	0.6784467584
856	0.6784302957
857	0.6784127065
858	0.6783850877
859	0.6783655711
860	0.6783480594
861	0.6783362523
862	0.6783286875
863	0.6783178364
864	0.6783107883
865	0.6782998545
866	0.6782879182
867	0.6782771807
868	0.6782683706
869	0.6782544398
870	0.6782410309
871	0.6782257307
872	0.6782094954
873	0.6782005922
874	0.6781862635
875	0.6781713613
876	0.6781459489
877	0.678125926
878	0.6781127134
879	0.6781046267
880	0.6780949847
881	0.678082294
882	0.6780706574
883	0.6780586126
884	0.6780493892
885	0.6780427441
886	0.6780296556
887	0.6780134563
888	0.6779972313
889	0.6779868968
890	0.6779713642
891	0.6779603064
892	0.6779517133
893	0.6779316076
894	0.677923862
895	0.677910019
896	0.6779023612
897	0.6778984496
898	0.6778841416
899	0.6778708618
900	0.6778575046
901	0.6778417032
902	0.6778162495
903	0.677802913
904	0.6777736562
905	0.6777626242
906	0.6777556588
907	0.6777481353
908	0.6777344215
909	0.6777240406
910	0.6777203047
911	0.6776997702
912	0.6776881904
913	0.6776857567
914	0.6776776906
915	0.677667165
916	0.67765264
917	0.677634069
918	0.6776117311
919	0.6775992626
920	0.6775872954
921	0.6775704192
922	0.67755283
923	0.6775397105
924	0.6775285596
925	0.6775009977
926	0.677485372
927	0.6774726193
928	0.6774596031
929	0.6774404431
930	0.6774341546
931	0.6774219703
932	0.6774048461
933	0.6773927962
934	0.6773748453
935	0.6773644437
936	0.6773537527
937	0.6773419611
938	0.6773316112
939	0.677314208
940	0.6773023647
941	0.677297027
942	0.6772845378
943	0.6772763995
944	0.6772728238
945	0.6772653623
946	0.677245019
947	0.6772317961
948	0.677229817
949	0.6772182631
950	0.6772037277
951	0.6771825577
952	0.677169805
953	0.6771488777
954	0.6771340478
955	0.6771180605
956	0.6771081653
957	0.6770956916
958	0.677083652
959	0.6770693285
960	0.6770526125
961	0.6770341242
962	0.677022901
963	0.676997313
964	0.6769773985
965	0.6769665629
966	0.6769525959
967	0.6769353684
968	0.6769267081
969	0.6769157433
970	0.6769089226
971	0.6768895817
972	0.6768800533
973	0.6768636474
974	0.676853034
975	0.6768271514
976	0.6768127193
977	0.6767938073
978	0.6767813027
979	0.6767767658
980	0.6767692165
981	0.6767552857
982	0.6767462224
983	0.6767207274
984	0.6767111577
985	0.6766992783
986	0.6766877399
987	0.6766720264
988	0.6766597077
989	0.6766331431
990	0.6766231652
991	0.6766120763
992	0.6765935674
993	0.6765837083
994	0.6765737046
995	0.6765533096
996	0.6765409496
997	0.6765314729
998	0.6765178625
999	0.6765055387
