iter	Passed	Remaining
0	214	214556
1	242	120985
2	270	90004
3	297	74041
4	325	64832
5	355	58919
6	384	54510
7	411	50968
8	440	48526
9	470	46542
10	493	44361
11	516	42560
12	540	41033
13	561	39567
14	586	38520
15	605	37229
16	623	36079
17	647	35333
18	673	34775
19	695	34061
20	758	35342
21	803	35712
22	844	35888
23	893	36348
24	934	36445
25	985	36908
26	1020	36772
27	1048	36404
28	1075	36025
29	1109	35871
30	1136	35528
31	1182	35766
32	1224	35868
33	1261	35854
34	1294	35698
35	1329	35600
36	1368	35629
37	1398	35401
38	1425	35118
39	1453	34894
40	1481	34655
41	1504	34311
42	1532	34101
43	1565	34015
44	1593	33820
45	1621	33636
46	1643	33320
47	1676	33240
48	1697	32951
49	1726	32798
50	1756	32678
51	1786	32570
52	1821	32538
53	1857	32534
54	1898	32624
55	1931	32563
56	1970	32607
57	2007	32600
58	2039	32522
59	2076	32537
60	2109	32473
61	2139	32364
62	2175	32359
63	2212	32356
64	2248	32350
65	2288	32389
66	2326	32392
67	2361	32367
68	2393	32289
69	2428	32270
70	2468	32303
71	2501	32235
72	2532	32161
73	2564	32084
74	2595	32008
75	2624	31910
76	2654	31814
77	2691	31809
78	2720	31710
79	2755	31692
80	2786	31615
81	2812	31484
82	2839	31375
83	2869	31286
84	2895	31170
85	2920	31036
86	2946	30925
87	2974	30826
88	3002	30736
89	3031	30656
90	3073	30705
91	3115	30746
92	3150	30727
93	3188	30731
94	3223	30704
95	3269	30787
96	3333	31032
97	3381	31121
98	3418	31115
99	3463	31168
100	3512	31266
101	3551	31268
102	3584	31217
103	3623	31215
104	3659	31193
105	3697	31184
106	3769	31463
107	3831	31644
108	3877	31697
109	3917	31693
110	3950	31637
111	4009	31786
112	4041	31723
113	4072	31654
114	4098	31540
115	4125	31441
116	4145	31287
117	4171	31178
118	4198	31086
119	4226	30990
120	4264	30979
121	4308	31009
122	4344	30978
123	4370	30873
124	4397	30780
125	4424	30690
126	4459	30655
127	4495	30623
128	4530	30587
129	4560	30517
130	4588	30439
131	4616	30358
132	4639	30241
133	4665	30149
134	4692	30065
135	4715	29955
136	4741	29864
137	4774	29823
138	4802	29745
139	4826	29650
140	4848	29535
141	4876	29465
142	4906	29405
143	4937	29350
144	4966	29283
145	4990	29190
146	5019	29126
147	5044	29041
148	5072	28969
149	5103	28917
150	5135	28876
151	5162	28803
152	5190	28733
153	5220	28679
154	5254	28645
155	5293	28640
156	5320	28566
157	5349	28509
158	5379	28454
159	5410	28403
160	5444	28370
161	5486	28378
162	5532	28407
163	5564	28366
164	5594	28309
165	5618	28229
166	5660	28234
167	5703	28243
168	5753	28290
169	5802	28332
170	5846	28341
171	5904	28424
172	5991	28639
173	6050	28723
174	6100	28760
175	6152	28803
176	6197	28816
177	6240	28816
178	6277	28793
179	6320	28791
180	6355	28758
181	6397	28751
182	6431	28714
183	6459	28646
184	6487	28582
185	6530	28579
186	6554	28497
187	6581	28426
188	6616	28390
189	6653	28363
190	6683	28308
191	6717	28270
192	6750	28224
193	6782	28180
194	6810	28116
195	6832	28028
196	6858	27957
197	6877	27856
198	6900	27776
199	6922	27688
200	6942	27598
201	6966	27521
202	6991	27448
203	7012	27363
204	7033	27274
205	7054	27191
206	7077	27112
207	7098	27029
208	7124	26965
209	7151	26902
210	7176	26836
211	7206	26787
212	7238	26743
213	7271	26707
214	7299	26649
215	7325	26588
216	7349	26519
217	7374	26454
218	7401	26396
219	7426	26329
220	7450	26261
221	7481	26219
222	7509	26164
223	7543	26131
224	7572	26084
225	7607	26053
226	7654	26064
227	7687	26029
228	7718	25985
229	7754	25959
230	7795	25951
231	7840	25953
232	7873	25917
233	7906	25881
234	7935	25832
235	7963	25780
236	7986	25710
237	8015	25661
238	8043	25612
239	8070	25555
240	8103	25522
241	8136	25483
242	8156	25410
243	8177	25337
244	8210	25302
245	8239	25255
246	8261	25185
247	8287	25128
248	8316	25084
249	8359	25078
250	8430	25156
251	8473	25150
252	8511	25130
253	8550	25111
254	8603	25134
255	8657	25161
256	8697	25144
257	8731	25112
258	8766	25079
259	8797	25038
260	8828	24997
261	8854	24940
262	8880	24885
263	8904	24823
264	8937	24788
265	8978	24774
266	9007	24727
267	9032	24671
268	9060	24620
269	9087	24569
270	9114	24518
271	9139	24460
272	9163	24403
273	9198	24373
274	9230	24334
275	9256	24280
276	9297	24267
277	9326	24221
278	9354	24173
279	9378	24116
280	9406	24068
281	9429	24008
282	9459	23966
283	9484	23912
284	9513	23866
285	9540	23817
286	9562	23755
287	9589	23707
288	9614	23654
289	9640	23603
290	9662	23542
291	9683	23479
292	9707	23423
293	9732	23370
294	9763	23332
295	9789	23283
296	9813	23229
297	9840	23180
298	9870	23140
299	9896	23091
300	9922	23042
301	9953	23004
302	9979	22957
303	10009	22917
304	10038	22873
305	10070	22839
306	10106	22813
307	10150	22805
308	10198	22806
309	10235	22782
310	10262	22736
311	10289	22689
312	10312	22633
313	10335	22580
314	10357	22524
315	10379	22466
316	10399	22406
317	10425	22359
318	10451	22312
319	10471	22251
320	10498	22206
321	10518	22148
322	10544	22100
323	10564	22042
324	10585	21986
325	10616	21949
326	10637	21892
327	10655	21829
328	10669	21761
329	10686	21697
330	10715	21656
331	10756	21642
332	10833	21698
333	10911	21757
334	10966	21769
335	11016	21769
336	11064	21768
337	11116	21773
338	11174	21787
339	11229	21798
340	11298	21834
341	11359	21855
342	11420	21875
343	11471	21875
344	11549	21927
345	11631	21985
346	11691	22001
347	11766	22045
348	11808	22027
349	11846	21999
350	11883	21972
351	11925	21953
352	11959	21920
353	11997	21893
354	12033	21863
355	12070	21835
356	12095	21786
357	12125	21745
358	12166	21723
359	12205	21698
360	12230	21648
361	12258	21604
362	12287	21562
363	12318	21522
364	12347	21480
365	12377	21441
366	12423	21428
367	12471	21417
368	12508	21389
369	12552	21372
370	12602	21366
371	12643	21344
372	12673	21303
373	12702	21260
374	12720	21201
375	12744	21149
376	12764	21094
377	12784	21036
378	12802	20977
379	12827	20929
380	12849	20876
381	12877	20832
382	12898	20779
383	12926	20737
384	12951	20689
385	12979	20645
386	13007	20603
387	13040	20569
388	13074	20535
389	13105	20499
390	13145	20474
391	13180	20443
392	13209	20403
393	13240	20364
394	13262	20313
395	13280	20256
396	13303	20206
397	13321	20150
398	13341	20096
399	13363	20045
400	13396	20010
401	13424	19970
402	13451	19926
403	13475	19879
404	13501	19835
405	13523	19785
406	13550	19743
407	13576	19698
408	13600	19652
409	13632	19617
410	13664	19582
411	13706	19561
412	13752	19546
413	13800	19533
414	13835	19503
415	13877	19482
416	13914	19453
417	13960	19437
418	14009	19425
419	14049	19401
420	14091	19380
421	14133	19358
422	14207	19379
423	14271	19388
424	14327	19384
425	14371	19363
426	14417	19347
427	14442	19301
428	14473	19264
429	14503	19225
430	14529	19182
431	14563	19148
432	14593	19109
433	14621	19068
434	14645	19022
435	14672	18979
436	14698	18936
437	14730	18900
438	14752	18852
439	14782	18814
440	14807	18769
441	14834	18727
442	14860	18684
443	14895	18653
444	14929	18619
445	14956	18577
446	14985	18538
447	15017	18503
448	15046	18464
449	15071	18420
450	15107	18390
451	15147	18365
452	15179	18329
453	15213	18296
454	15241	18256
455	15270	18217
456	15298	18177
457	15324	18135
458	15352	18095
459	15385	18060
460	15408	18016
461	15436	17975
462	15459	17930
463	15483	17885
464	15507	17842
465	15532	17799
466	15562	17762
467	15595	17728
468	15623	17688
469	15649	17646
470	15675	17605
471	15697	17559
472	15717	17512
473	15745	17472
474	15770	17430
475	15791	17383
476	15813	17338
477	15835	17293
478	15856	17246
479	15877	17200
480	15899	17155
481	15921	17110
482	15945	17067
483	15966	17021
484	15989	16978
485	16020	16943
486	16051	16908
487	16089	16880
488	16118	16844
489	16142	16801
490	16164	16756
491	16182	16708
492	16202	16662
493	16223	16617
494	16243	16571
495	16265	16528
496	16295	16492
497	16327	16458
498	16366	16432
499	16395	16395
500	16423	16358
501	16450	16319
502	16477	16281
503	16508	16246
504	16538	16211
505	16561	16169
506	16604	16145
507	16630	16106
508	16679	16089
509	16708	16053
510	16731	16011
511	16753	15968
512	16775	15925
513	16797	15882
514	16817	15837
515	16838	15794
516	16860	15751
517	16880	15706
518	16901	15664
519	16928	15626
520	16952	15585
521	16972	15541
522	16995	15500
523	17019	15460
524	17041	15418
525	17071	15384
526	17112	15358
527	17149	15330
528	17359	15456
529	17414	15442
530	17451	15413
531	17503	15397
532	17538	15366
533	17578	15339
534	17622	15316
535	17700	15322
536	17778	15328
537	17850	15328
538	17885	15297
539	17930	15273
540	17966	15243
541	18008	15217
542	18040	15182
543	18134	15200
544	18208	15201
545	18263	15186
546	18292	15148
547	18331	15120
548	18373	15093
549	18426	15076
550	18541	15109
551	18617	15110
552	18648	15073
553	18677	15036
554	18746	15031
555	18802	15014
556	18855	14996
557	18908	14977
558	19029	15012
559	19113	15017
560	19164	14997
561	19208	14969
562	19270	14957
563	19464	15046
564	19507	15018
565	19536	14980
566	19589	14959
567	19656	14950
568	19692	14916
569	19774	14917
570	19833	14901
571	19904	14893
572	19989	14895
573	20039	14872
574	20110	14864
575	20142	14827
576	20182	14795
577	20218	14761
578	20250	14724
579	20309	14706
580	20340	14668
581	20484	14712
582	20547	14696
583	20584	14662
584	20620	14628
585	20652	14590
586	20682	14551
587	20720	14518
588	20849	14548
589	20903	14526
590	20970	14512
591	21075	14524
592	21150	14516
593	21183	14479
594	21224	14446
595	21381	14493
596	21466	14490
597	21523	14468
598	21565	14436
599	21609	14406
600	21643	14369
601	21811	14420
602	21865	14395
603	21940	14384
604	22016	14374
605	22080	14356
606	22130	14328
607	22336	14401
608	22425	14398
609	22495	14382
610	22564	14365
611	22706	14395
612	22773	14377
613	22816	14343
614	22873	14319
615	22904	14278
616	23024	14292
617	23112	14286
618	23151	14250
619	23223	14233
620	23294	14216
621	23366	14199
622	23421	14173
623	23552	14191
624	23733	14239
625	23775	14204
626	23828	14175
627	23897	14156
628	24019	14167
629	24129	14171
630	24186	14143
631	24221	14103
632	24360	14123
633	24508	14148
634	24591	14135
635	24794	14190
636	24909	14194
637	25007	14189
638	25073	14165
639	25149	14146
640	25258	14146
641	25307	14112
642	25347	14073
643	25387	14033
644	25426	13994
645	25459	13951
646	25545	13937
647	25600	13906
648	25650	13872
649	25702	13839
650	25740	13799
651	25778	13759
652	25853	13738
653	25917	13711
654	26007	13698
655	26054	13662
656	26081	13616
657	26191	13613
658	26240	13577
659	26273	13534
660	26300	13488
661	26333	13445
662	26373	13405
663	26414	13366
664	26454	13326
665	26491	13285
